train_id,priority,release_delay_min,track_id,from_station,to_station,from_name,to_name,start_min,end_min,duration_min,start_time,end_time
TRN0001,1,12,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,157,166,9,2025-09-24T13:10:49.592971,2025-09-24T13:19:49.592971
TRN0001,1,12,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,169,178,9,2025-09-24T13:22:49.592971,2025-09-24T13:31:49.592971
TRN0001,1,12,TRK0130,STN004,STN036,Ambala Cantt Jn,Chandi Mandir,178,187,9,2025-09-24T13:31:49.592971,2025-09-24T13:40:49.592971
TRN0001,1,12,TRK0044,STN036,STN080,Chandi Mandir,Kalka,187,200,13,2025-09-24T13:40:49.592971,2025-09-24T13:53:49.592971
TRN0002,1,23,TRK0044,STN080,STN036,Kalka,Chandi Mandir,54,66,12,2025-09-24T11:27:49.592971,2025-09-24T11:39:49.592971
TRN0002,1,23,TRK0130,STN036,STN004,Chandi Mandir,Ambala Cantt Jn,66,74,8,2025-09-24T11:39:49.592971,2025-09-24T11:47:49.592971
TRN0002,1,23,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,142,150,8,2025-09-24T12:55:49.592971,2025-09-24T13:03:49.592971
TRN0002,1,23,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,151,159,8,2025-09-24T13:04:49.592971,2025-09-24T13:12:49.592971
TRN0003,1,10,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,203,213,10,2025-09-24T13:56:49.592971,2025-09-24T14:06:49.592971
TRN0003,1,10,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,235,245,10,2025-09-24T14:28:49.592971,2025-09-24T14:38:49.592971
TRN0003,1,10,TRK0132,STN004,STN037,Ambala Cantt Jn,Chandigarh Jn,245,255,10,2025-09-24T14:38:49.592971,2025-09-24T14:48:49.592971
TRN0004,1,28,TRK0132,STN037,STN004,Chandigarh Jn,Ambala Cantt Jn,96,109,13,2025-09-24T12:09:49.592971,2025-09-24T12:22:49.592971
TRN0004,1,28,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,270,283,13,2025-09-24T15:03:49.592971,2025-09-24T15:16:49.592971
TRN0004,1,28,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,286,299,13,2025-09-24T15:19:49.592971,2025-09-24T15:32:49.592971
TRN0005,1,12,TRK0188,STN102,STN053,New Delhi,Ghaziabad Jn,12,20,8,2025-09-24T10:45:49.592971,2025-09-24T10:53:49.592971
TRN0005,1,12,TRK0209,STN053,STN123,Ghaziabad Jn,Saharanpur Jn,21,29,8,2025-09-24T10:54:49.592971,2025-09-24T11:02:49.592971
TRN0005,1,12,TRK0210,STN123,STN063,Saharanpur Jn,Haridwar Jn,29,37,8,2025-09-24T11:02:49.592971,2025-09-24T11:10:49.592971
TRN0005,1,12,TRK0156,STN063,STN041,Haridwar Jn,Dehradun,37,45,8,2025-09-24T11:10:49.592971,2025-09-24T11:18:49.592971
TRN0006,1,9,TRK0156,STN041,STN063,Dehradun,Haridwar Jn,9,18,9,2025-09-24T10:42:49.592971,2025-09-24T10:51:49.592971
TRN0006,1,9,TRK0210,STN063,STN123,Haridwar Jn,Saharanpur Jn,20,29,9,2025-09-24T10:53:49.592971,2025-09-24T11:02:49.592971
TRN0006,1,9,TRK0209,STN123,STN053,Saharanpur Jn,Ghaziabad Jn,81,90,9,2025-09-24T11:54:49.592971,2025-09-24T12:03:49.592971
TRN0006,1,9,TRK0188,STN053,STN102,Ghaziabad Jn,New Delhi,91,100,9,2025-09-24T12:04:49.592971,2025-09-24T12:13:49.592971
TRN0007,1,15,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,101,113,12,2025-09-24T12:14:49.592971,2025-09-24T12:26:49.592971
TRN0007,1,15,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,113,125,12,2025-09-24T12:26:49.592971,2025-09-24T12:38:49.592971
TRN0007,1,15,TRK0176,STN004,STN093,Ambala Cantt Jn,Ludhiana Jn,132,144,12,2025-09-24T12:45:49.592971,2025-09-24T12:57:49.592971
TRN0007,1,15,TRK0177,STN093,STN074,Ludhiana Jn,Jalandhar City Jn,145,157,12,2025-09-24T12:58:49.592971,2025-09-24T13:10:49.592971
TRN0007,1,15,TRK0166,STN074,STN006,Jalandhar City Jn,Amritsar Jn,157,169,12,2025-09-24T13:10:49.592971,2025-09-24T13:22:49.592971
TRN0008,1,26,TRK0166,STN006,STN074,Amritsar Jn,Jalandhar City Jn,114,123,9,2025-09-24T12:27:49.592971,2025-09-24T12:36:49.592971
TRN0008,1,26,TRK0177,STN074,STN093,Jalandhar City Jn,Ludhiana Jn,193,202,9,2025-09-24T13:46:49.592971,2025-09-24T13:55:49.592971
TRN0008,1,26,TRK0176,STN093,STN004,Ludhiana Jn,Ambala Cantt Jn,203,212,9,2025-09-24T13:56:49.592971,2025-09-24T14:05:49.592971
TRN0008,1,26,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,213,222,9,2025-09-24T14:06:49.592971,2025-09-24T14:15:49.592971
TRN0008,1,26,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,223,232,9,2025-09-24T14:16:49.592971,2025-09-24T14:25:49.592971
TRN0009,1,7,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,89,101,12,2025-09-24T12:02:49.592971,2025-09-24T12:14:49.592971
TRN0009,1,7,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,101,113,12,2025-09-24T12:14:49.592971,2025-09-24T12:26:49.592971
TRN0009,1,7,TRK0207,STN004,STN123,Ambala Cantt Jn,Saharanpur Jn,113,125,12,2025-09-24T12:26:49.592971,2025-09-24T12:38:49.592971
TRN0009,1,7,TRK0208,STN123,STN037,Saharanpur Jn,Chandigarh Jn,125,137,12,2025-09-24T12:38:49.592971,2025-09-24T12:50:49.592971
TRN0009,1,7,TRK0131,STN037,STN003,Chandigarh Jn,Amb Andaura,137,149,12,2025-09-24T12:50:49.592971,2025-09-24T13:02:49.592971
TRN0010,1,31,TRK0131,STN003,STN037,Amb Andaura,Chandigarh Jn,31,41,10,2025-09-24T11:04:49.592971,2025-09-24T11:14:49.592971
TRN0010,1,31,TRK0208,STN037,STN123,Chandigarh Jn,Saharanpur Jn,41,51,10,2025-09-24T11:14:49.592971,2025-09-24T11:24:49.592971
TRN0010,1,31,TRK0207,STN123,STN004,Saharanpur Jn,Ambala Cantt Jn,55,65,10,2025-09-24T11:28:49.592971,2025-09-24T11:38:49.592971
TRN0010,1,31,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,206,216,10,2025-09-24T13:59:49.592971,2025-09-24T14:09:49.592971
TRN0010,1,31,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,217,227,10,2025-09-24T14:10:49.592971,2025-09-24T14:20:49.592971
TRN0011,1,8,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,79,89,10,2025-09-24T11:52:49.592971,2025-09-24T12:02:49.592971
TRN0011,1,8,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,91,101,10,2025-09-24T12:04:49.592971,2025-09-24T12:14:49.592971
TRN0011,1,8,TRK0176,STN004,STN093,Ambala Cantt Jn,Ludhiana Jn,104,114,10,2025-09-24T12:17:49.592971,2025-09-24T12:27:49.592971
TRN0011,1,8,TRK0177,STN093,STN074,Ludhiana Jn,Jalandhar City Jn,121,131,10,2025-09-24T12:34:49.592971,2025-09-24T12:44:49.592971
TRN0011,1,8,TRK0166,STN074,STN006,Jalandhar City Jn,Amritsar Jn,245,255,10,2025-09-24T14:38:49.592971,2025-09-24T14:48:49.592971
TRN0011,1,8,TRK0168,STN006,STN075,Amritsar Jn,Jammu Tawi,255,265,10,2025-09-24T14:48:49.592971,2025-09-24T14:58:49.592971
TRN0012,1,29,TRK0168,STN075,STN006,Jammu Tawi,Amritsar Jn,39,49,10,2025-09-24T11:12:49.592971,2025-09-24T11:22:49.592971
TRN0012,1,29,TRK0166,STN006,STN074,Amritsar Jn,Jalandhar City Jn,76,86,10,2025-09-24T11:49:49.592971,2025-09-24T11:59:49.592971
TRN0012,1,29,TRK0177,STN074,STN093,Jalandhar City Jn,Ludhiana Jn,101,111,10,2025-09-24T12:14:49.592971,2025-09-24T12:24:49.592971
TRN0012,1,29,TRK0176,STN093,STN004,Ludhiana Jn,Ambala Cantt Jn,172,182,10,2025-09-24T13:25:49.592971,2025-09-24T13:35:49.592971
TRN0012,1,29,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,245,255,10,2025-09-24T14:38:49.592971,2025-09-24T14:48:49.592971
TRN0012,1,29,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,256,266,10,2025-09-24T14:49:49.592971,2025-09-24T14:59:49.592971
TRN0013,1,22,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,67,79,12,2025-09-24T11:40:49.592971,2025-09-24T11:52:49.592971
TRN0014,1,5,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,5,14,9,2025-09-24T10:38:49.592971,2025-09-24T10:47:49.592971
TRN0015,1,19,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,260,271,11,2025-09-24T14:53:49.592971,2025-09-24T15:04:49.592971
TRN0015,1,19,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,276,287,11,2025-09-24T15:09:49.592971,2025-09-24T15:20:49.592971
TRN0015,1,19,TRK0132,STN004,STN037,Ambala Cantt Jn,Chandigarh Jn,287,298,11,2025-09-24T15:20:49.592971,2025-09-24T15:31:49.592971
TRN0015,1,19,TRK0131,STN037,STN003,Chandigarh Jn,Amb Andaura,298,309,11,2025-09-24T15:31:49.592971,2025-09-24T15:42:49.592971
TRN0016,1,18,TRK0131,STN003,STN037,Amb Andaura,Chandigarh Jn,18,28,10,2025-09-24T10:51:49.592971,2025-09-24T11:01:49.592971
TRN0016,1,18,TRK0132,STN037,STN004,Chandigarh Jn,Ambala Cantt Jn,92,102,10,2025-09-24T12:05:49.592971,2025-09-24T12:15:49.592971
TRN0016,1,18,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,240,250,10,2025-09-24T14:33:49.592971,2025-09-24T14:43:49.592971
TRN0016,1,18,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,250,260,10,2025-09-24T14:43:49.592971,2025-09-24T14:53:49.592971
TRN0017,2,27,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,39,49,10,2025-09-24T11:12:49.592971,2025-09-24T11:22:49.592971
TRN0017,2,27,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,55,65,10,2025-09-24T11:28:49.592971,2025-09-24T11:38:49.592971
TRN0017,2,27,TRK0176,STN004,STN093,Ambala Cantt Jn,Ludhiana Jn,65,75,10,2025-09-24T11:38:49.592971,2025-09-24T11:48:49.592971
TRN0017,2,27,TRK0177,STN093,STN074,Ludhiana Jn,Jalandhar City Jn,268,278,10,2025-09-24T15:01:49.592971,2025-09-24T15:11:49.592971
TRN0017,2,27,TRK0166,STN074,STN006,Jalandhar City Jn,Amritsar Jn,278,288,10,2025-09-24T15:11:49.592971,2025-09-24T15:21:49.592971
TRN0017,2,27,TRK0165,STN006,STN073,Amritsar Jn,Jalandhar Cantt,288,298,10,2025-09-24T15:21:49.592971,2025-09-24T15:31:49.592971
TRN0018,2,16,TRK0165,STN073,STN006,Jalandhar Cantt,Amritsar Jn,16,24,8,2025-09-24T10:49:49.592971,2025-09-24T10:57:49.592971
TRN0018,2,16,TRK0166,STN006,STN074,Amritsar Jn,Jalandhar City Jn,225,233,8,2025-09-24T14:18:49.592971,2025-09-24T14:26:49.592971
